Item #,Warehouse,Category,Manufacturer,Model,Grade,Capacity,Carrier,Color,Lock Status,Model Number,Parts Message,Increment Size,Quantity Available,List Price,Transaction Status,Transaction Quantity,Transaction Price,Expires,New Offer Quantity,New Offer Price
28649,New York,PHONES,Apple,iPhone 11 Pro,PID,64GB,GSM Unlocked,Mixed,GSM Unlocked,A2160,,1,9,140,,,,,,
64655,New York,PHONES,Apple,iPhone 11 Pro,PLB,64GB,GSM Unlocked,Grey,GSM Unlocked,A2160,,1,1,150,,,,,,
38096,New York,PHONES,Apple,iPhone 11 Pro,PLCD,64GB,GSM Unlocked,Mixed,GSM Unlocked,A2160,,1,1,140,,,,,,
30635RC1,New York,PHONES,Apple,iPhone 11 Pro,RC1-Stock,64GB,GSM Unlocked,Green,GSM Unlocked,A2160,,1,1,225,,,,,,
27860RC2,New York,PHONES,Apple,iPhone 11 Pro,RC2-Stock,64GB,GSM Unlocked,Grey,GSM Unlocked,A2160,,1,1,200,,,,,,
60206GY,New York,PHONES,Apple,iPhone 11 Pro Max,PGL,64GB,GSM Unlocked,Grey,GSM Unlocked,A2161,,1,1,200,,,,,,
64805UP,New York,PHONES,Apple,iPhone 11 Pro Max,PCG,256GB,Verizon,Grey,GSM Unlocked,A2161,Unknown Part Message,1,1,190,,,,,,
60365GR,New York,PHONES,Apple,iPhone 11 Pro Max,PGL,256GB,Verizon,Green,GSM Unlocked,A2161,,1,1,220,,,,,,
29401,New York,PHONES,Apple,iPhone 12,A2-Stock,64GB,GSM Unlocked,Green,GSM Unlocked,A2172,,1,1,215,,,,,,
29293,New York,PHONES,Apple,iPhone 12,A2-Stock,64GB,GSM Unlocked,Blue,GSM Unlocked,A2172,,1,1,215,,,,,,
40155,New York,PHONES,Apple,iPhone 12,A2-Stock,64GB,Other,Green,Locked,A2172,,1,1,175,,,,,,
30730,New York,PHONES,Apple,iPhone 12,B1-Stock,64GB,GSM Unlocked,Blue,GSM Unlocked,A2172,,1,44,200,,,,,,
30742,New York,PHONES,Apple,iPhone 12,B1-Stock,64GB,GSM Unlocked,Red,GSM Unlocked,A2172,,1,11,200,,,,,,
60369BK,New York,PHONES,Apple,iPhone 12,PGL,64GB,GSM Unlocked,Black,GSM Unlocked,A2172,,1,5,140,,,,,,
60369P,New York,PHONES,Apple,iPhone 12,PGL,64GB,GSM Unlocked,Purple,GSM Unlocked,A2172,,1,1,140,,,,,,
60369BL,New York,PHONES,Apple,iPhone 12,PGL,64GB,GSM Unlocked,Blue,GSM Unlocked,A2172,,1,1,140,,,,,,
30742RC1,New York,PHONES,Apple,iPhone 12,RC1-Stock,64GB,GSM Unlocked,Red,GSM Unlocked,A2172,,1,1,195,,,,,,
40119,New York,PHONES,Apple,iPhone 12,B2-Stock,128GB,Other,Black,Locked,A2172,,1,1,180,,,,,,
64868,New York,PHONES,Apple,iPhone 12,PCG,128GB,GSM Unlocked,Blue,GSM Unlocked,A2172,,1,1,150,,,,,,
60433BK,New York,PHONES,Apple,iPhone 12,PGL,128GB,GSM Unlocked,Black,GSM Unlocked,A2172,,1,1,160,,,,,,
60433W,New York,PHONES,Apple,iPhone 12,PGL,128GB,GSM Unlocked,White,GSM Unlocked,A2172,,1,1,160,,,,,,
60433BL,New York,PHONES,Apple,iPhone 12,PGL,128GB,GSM Unlocked,Blue,GSM Unlocked,A2172,,1,3,160,,,,,,
64860,New York,PHONES,Apple,iPhone 12,PLB,128GB,GSM Unlocked,Blue,GSM Unlocked,A2172,,1,1,150,,,,,,
29774RC2,New York,PHONES,Apple,iPhone 12,RC2-Stock,256GB,GSM Unlocked,Blue,GSM Unlocked,A2172,,1,1,215,,,,,,
29408,New York,PHONES,Apple,iPhone 12 Mini,A1-Stock,64GB,GSM Unlocked,Red,GSM Unlocked,A2176,,1,1,175,,,,,,
29398,New York,PHONES,Apple,iPhone 12 Mini,A1-Stock,64GB,GSM Unlocked,White,GSM Unlocked,A2176,,1,4,175,,,,,,
34722,New York,PHONES,Apple,iPhone 12 Mini,A1-Stock,64GB,GSM Unlocked,Red,GSM Unlocked,A2398,,1,1,175,,,,,,
34766,New York,PHONES,Apple,iPhone 12 Mini,A1-Stock,64GB,GSM Unlocked,White,GSM Unlocked,A2398,,1,1,175,,,,,,
30292,New York,PHONES,Apple,iPhone 12 Mini,A2-Stock,64GB,GSM Unlocked,Purple,GSM Unlocked,A2176,,1,1,165,,,,,,
